Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:BHP,"BHP Group Limited (ASX:BHP)",https://www.listcorp.com/asx/bhp/bhp-group-limited,"	225204000000",43.36,-1.07,-2.41,Materials
ASX:CBA,"Commonwealth Bank (ASX:CBA)",https://www.listcorp.com/asx/cba/commonwealth-bank,"	165522000000",97.82,-0.93,-0.94,Financials
ASX:CSL,"CSL Limited (ASX:CSL)",https://www.listcorp.com/asx/csl/csl-limited,"	112598000000",236.8,3.71,1.59,"Health Care"
ASX:NAB,"National Australia Bank (ASX:NAB)",https://www.listcorp.com/asx/nab/nab,"	89644400000",28.56,-0.09,-0.31,Financials
ASX:ANZ,"ANZ Group Holdings Limited (ASX:ANZ)",https://www.listcorp.com/asx/anz/anz-group-holdings-limited,"	75943600000",25.22,-0.05,-0.2,Financials
ASX:WBC,"Westpac Banking Corp (ASX:WBC)",https://www.listcorp.com/asx/wbc/westpac,"	73199300000",20.84,-0.02,-0.1,Financials
ASX:WDS,"Woodside Energy Group Ltd (ASX:WDS)",https://www.listcorp.com/asx/wds/woodside-energy-group,"	69038500000",35.19,-1.17,-3.22,Energy
ASX:FMG,"Fortescue Metals Group (ASX:FMG)",https://www.listcorp.com/asx/fmg/fortescue-metals,"	65859100000",20.81,-0.58,-2.71,Materials
ASX:MQG,"Macquarie Group Limited (ASX:MQG)",https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	62450800000",162.19,0.60,0.37,Financials
ASX:WES,"Wesfarmers Limited (ASX:WES)",https://www.listcorp.com/asx/wes/wesfarmers-limited,"	58139800000",51.24,-0.03,-0.06,"Consumer Discretionary"
ASX:WOW,"Woolworths Group Limited (ASX:WOW)",https://www.listcorp.com/asx/wow/woolworths-group,"	44648900000",36.81,0.26,0.71,"Consumer Staples"
ASX:TLS,"Telstra Group Limited (ASX:TLS)",https://www.listcorp.com/asx/tls/telstra-group-limited,"	44022400000",3.79,-0.02,-0.52,"Communication Services"
ASX:RIO,"Rio Tinto (ASX:RIO)",https://www.listcorp.com/asx/rio/rio-tinto,"	42548800000",111.85,-2.77,-2.42,Materials
ASX:GMG,"Goodman Group (ASX:GMG)",https://www.listcorp.com/asx/gmg/goodman-group,"	40072700000",21.06,-0.04,-0.19,"Real Estate"
ASX:TCL,"Transurban Group (ASX:TCL)",https://www.listcorp.com/asx/tcl/transurban-group,"	36960900000",11.98,0.01,0.08,Industrials
ASX:STO,"Santos Limited (ASX:STO)",https://www.listcorp.com/asx/sto/santos-limited,"	25982200000",7.8,-0.20,-2.5,Energy
ASX:ALL,"Aristocrat Leisure Limited (ASX:ALL)",https://www.listcorp.com/asx/all/aristocrat-leisure-limited,"	25345700000",39.14,0.06,0.15,"Consumer Discretionary"
ASX:QBE,"QBE Insurance Group Limited (ASX:QBE)",https://www.listcorp.com/asx/qbe/qbe-insurance-group-limited,"	23320000000",15.35,-0.26,-1.67,Financials
ASX:NCM,"Newcrest Mining Limited (ASX:NCM)",https://www.listcorp.com/asx/ncm/newcrest-mining-limited,"	22185900000",24.31,-0.50,-2.02,Materials
ASX:REA,"REA Group Ltd (ASX:REA)",https://www.listcorp.com/asx/rea/rea-group,"	20513800000",154.44,-0.82,-0.53,"Communication Services"
ASX:COL,"Coles Group Limited (ASX:COL)",https://www.listcorp.com/asx/col/coles-group-limited,"	20249900000",15.23,0.10,0.66,"Consumer Staples"
ASX:WTC,"WiseTech Global Limited (ASX:WTC)",https://www.listcorp.com/asx/wtc/wisetech-global-limited,"	19998900000",60,0.00,0,"Information Technology"
ASX:BXB,"Brambles Limited (ASX:BXB)",https://www.listcorp.com/asx/bxb/brambles-limited,"	19913200000",14.26,-0.07,-0.49,Industrials
ASX:SUN,"Suncorp Group Limited (ASX:SUN)",https://www.listcorp.com/asx/sun/suncorp-group-limited,"	17656700000",13.51,-0.39,-2.81,Financials
